rank,finalWorth,category,personName,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,cpi_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age as of 1 Jan 2023
1067,2800,Healthcare,Kang An,China,Beijing,Pharmaceuticals,Healthcare,China,True,D,M,1949-01-01 00:00:00,An,Kang,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,74
1067,2800,Technology,Garrett Camp,United States,Ottawa,Uber,Technology,Canada,True,E,M,1978-10-04 00:00:00,Camp,Garrett,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,45
1067,2800,Gambling & Casinos,Chen Lip Keong,Cambodia,Kuala Lumpur,"Casinos, property, energy",Gambling & Casinos,Malaysia,True,U,M,1947-07-01 00:00:00,Chen,Lip Keong,4/4/2023 5:01,127.63,27089389787.0,13.7,107.4,69.6,17.1,23.1,16486542.0,12.565679,104.990963,76
1067,2800,Real Estate,Choo Chong Ngen,Singapore,Singapore,Hotels,Real Estate,Singapore,True,U,M,1953-04-21 00:00:00,Choo,Chong Ngen,4/4/2023 5:01,114.41,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836,70
1067,2800,Automotive,Euisun Chung,South Korea,Seoul,Hyundai,Automotive,South Korea,False,D,M,1970-10-18 00:00:00,Chung,Euisun,4/4/2023 5:01,115.16,1665250000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922,53
1067,2800,Diversified,Smita Crishna-Godrej,India,New Delhi,Consumer goods,Diversified,India,False,U,F,1950-12-30 00:00:00,Crishna-Godrej,Smita,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,73
1067,2800,Fashion & Retail,Eleanor Butt Crook & family,United States,"Washington, D.C.",Supermarkets,Fashion & Retail,United States,False,N,F,1932-07-21 00:00:00,Crook,Eleanor Butt,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,91
1067,2800,Manufacturing,Du Jiangtao & family,China,Beijing,Chemicals,Manufacturing,China,True,D,M,1969-11-17 00:00:00,Du,Jiangtao,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,54
1067,2800,Sports,Lorenzo Fertitta,United States,"Washington, D.C.","Casinos, mixed martial arts",Sports,United States,False,U,M,1969-01-03 00:00:00,Fertitta,Lorenzo,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,54
1067,2800,Technology,Sebastian Glaser,Germany,Berlin,Sensor technology,Technology,Germany,False,U,M,1978-09-28 00:00:00,Glaser,Sebastian,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,45
1067,2800,Diversified,Adi Godrej,India,New Delhi,Consumer goods,Diversified,India,False,U,M,1942-04-03 00:00:00,Godrej,Adi,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,81
1067,2800,Diversified,Jamshyd Godrej,India,New Delhi,Diversified,Diversified,India,False,U,M,1949-01-24 00:00:00,Godrej,Jamshyd,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,74
1067,2800,Real Estate,Lee Yeow Chor,Malaysia,Kuala Lumpur,"Palm oil, property",Real Estate,Malaysia,False,Split Family Fortune,M,1967-01-01 00:00:00,Lee,Yeow Chor,4/4/2023 5:01,121.46,406306000000.0,45.1,105.3,76.0,12.0,38.7,32447385.0,4.210484,101.975766,56
1067,2800,Manufacturing,Li Weiguo,China,Beijing,Construction materials,Manufacturing,China,True,D,M,1965-01-01 00:00:00,Li,Weiguo,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,58
1067,2800,Manufacturing,Dmitry Mazepin,Russia,Moscow,Chemicals,Manufacturing,Russia,True,R,M,1968-04-18 00:00:00,Mazepin,Dmitry,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,55
1067,2800,Fashion & Retail,"Drayton McLane, Jr.",United States,"Washington, D.C.","Walmart, logistics",Fashion & Retail,United States,False,D,M,1936-07-22 00:00:00,McLane,Drayton,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,87
1067,2800,Telecom,Najib Mikati,Lebanon,Beirut,Telecom,Telecom,Lebanon,True,D,M,1955-11-24 00:00:00,Mikati,Najib,4/4/2023 5:01,130.02,53367042272.0,26.3,95.1,78.9,15.3,32.2,6855713.0,33.854721,35.862285,68
1067,2800,Telecom,Taha Mikati,Lebanon,Beirut,Telecom,Telecom,Lebanon,True,D,M,1945-01-01 00:00:00,Mikati,Taha,4/4/2023 5:01,130.02,53367042272.0,26.3,95.1,78.9,15.3,32.2,6855713.0,33.854721,35.862285,78
1067,2800,Real Estate,Akira Mori & family,Japan,Tokyo,Real estate,Real Estate,Japan,False,D,M,1936-07-12 00:00:00,Mori,Akira,4/4/2023 5:01,105.48,4231140000000.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,87
1067,2800,Diversified,Rishad Naoroji,India,New Delhi,Consumer goods,Diversified,India,False,U,M,1951-08-30 00:00:00,Naoroji,Rishad,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,72
1067,2800,Diversified,Philip Niarchos,France,Athens,Art collection,Diversified,Greece,False,E,M,1954-01-01 00:00:00,Niarchos,Philip,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,69
1067,2800,Technology,Nandan Nilekani,India,New Delhi,Software services,Technology,India,True,D,M,1955-06-02 00:00:00,Nilekani,Nandan,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,68
1067,2800,Fashion & Retail,Benjamin Otto,Germany,Berlin,Retail,Fashion & Retail,Germany,False,D,M,1975-06-09 00:00:00,Otto,Benjamin,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,48
1067,2800,Diversified,Maren Otto,Germany,Berlin,"Retail, real estate",Diversified,Germany,False,D,F,1949-12-23 00:00:00,Otto,Maren,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,74
1067,2800,Service,Ranjan Pai,India,New Delhi,Education,Service,India,False,U,M,1972-11-11 00:00:00,Pai,Ranjan,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,51
1067,2800,Manufacturing,Madhukar Parekh,India,New Delhi,Adhesives,Manufacturing,India,False,D,M,1947-01-01 00:00:00,Parekh,Madhukar,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,76
1067,2800,Technology,Sean Parker,United States,"Washington, D.C.",Facebook,Technology,United States,True,E,M,1979-12-03 00:00:00,Parker,Sean,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,44
1067,2800,Healthcare,Stewart Rahr,United States,"Washington, D.C.",Drug distribution,Healthcare,United States,False,U,M,1946-02-18 00:00:00,Rahr,Stewart,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,77
1067,2800,Media & Entertainment,Su Hua,China,Beijing,Video streaming,Media & Entertainment,China,True,D,M,1982-01-01 00:00:00,Su,Hua,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,41
1067,2800,Manufacturing,Sun Shoukuan,China,Beijing,"Metals, coal",Manufacturing,China,True,E,M,1949-10-01 00:00:00,Sun,Shoukuan,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,74
1067,2800,Manufacturing,Tseng Cheng,Taiwan,Taipei,Petrochemicals,Manufacturing,Taiwan,False,U,M,1961-12-01 00:00:00,Tseng,Cheng,4/4/2023 5:01,106.01,751930000000.0,0.0,100.0,81.16,20.0,5.0,23923276.0,23.69781,120.960515,62
1067,2800,Logistics,Tung Chee Hwa,Hong Kong,Hong Kong,Shipping,Logistics,Hong Kong,False,E,M,1937-07-07 00:00:00,Tung,Chee Hwa,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,86
1067,2800,Technology,Meg Whitman,United States,"Washington, D.C.",EBay,Technology,United States,True,D,F,1956-08-04 00:00:00,Whitman,Meg,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,67
1067,2800,Manufacturing,Wong Luen Hei,Hong Kong,Beijing,Building materials,Manufacturing,China,True,D,M,1962-01-01 00:00:00,Wong,Luen Hei,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,61
1067,2800,Healthcare,Chenghai Ye & family,Hong Kong,Hong Kong,Pharmaceuticals,Healthcare,Hong Kong,True,D,M,1943-08-15 00:00:00,Ye,Chenghai,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,80
1067,2800,Manufacturing,Zhu Xingming,China,Beijing,Electrical equipment,Manufacturing,China,True,U,M,1967-03-01 00:00:00,Zhu,Xingming,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,56
1104,2700,Finance & Investments,Jose Joao Abdalla Filho,Brazil,Brasília,Investments,Finance & Investments,Brazil,False,D,M,1945-05-30 00:00:00,Abdalla Filho,Jose Joao,4/4/2023 5:01,167.4,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,78
1104,2700,Finance & Investments,Juan Abello,Spain,Madrid,Investments,Finance & Investments,Spain,False,D,M,1941-12-16 00:00:00,Abello,Juan,4/4/2023 5:01,110.96,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,82
1104,2700,Diversified,Suhail Bahwan,Oman,Muscat,Diversified,Diversified,Oman,True,U,M,1939-01-01 00:00:00,Bahwan,Suhail,4/4/2023 5:01,113.53,76983094928.0,38.0,103.4,77.6,2.5,27.4,5266535.0,21.4735329,55.975413,84
1104,2700,Diversified,Madhur Bajaj,India,New Delhi,Diversified,Diversified,India,False,Split Family Fortune,M,1952-08-19 00:00:00,Bajaj,Madhur,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,71
1104,2700,Diversified,Niraj Bajaj,India,New Delhi,Diversified,Diversified,India,False,Split Family Fortune,M,1954-10-10 00:00:00,Bajaj,Niraj,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,69
1104,2700,Diversified,Shekhar Bajaj,India,New Delhi,Diversified,Diversified,India,False,Split Family Fortune,M,1948-06-08 00:00:00,Bajaj,Shekhar,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,75
1104,2700,Finance & Investments,Harindarpal Banga,Hong Kong,New Delhi,Commodities,Finance & Investments,India,True,U,M,1950-08-10 00:00:00,Banga,Harindarpal,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,73
1104,2700,Healthcare,Ulrike Baro,Germany,Berlin,Biopharmaceuticals,Healthcare,Germany,False,U,F,1985-10-16 00:00:00,Baro,Ulrike,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,38
1104,2700,Healthcare,Anne Beaufour,United Kingdom,Paris,Pharmaceuticals,Healthcare,France,False,U,F,1963-08-08 00:00:00,Beaufour,Anne,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,60
1104,2700,Healthcare,Henri Beaufour,United Kingdom,Paris,Pharmaceuticals,Healthcare,France,False,U,M,1965-06-01 00:00:00,Beaufour,Henri,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,58
1104,2700,Manufacturing,Andrei Bokarev,Russia,Moscow,"Metals, mining",Manufacturing,Russia,True,U,M,1966-10-23 00:00:00,Bokarev,Andrei,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,57
1104,2700,Food & Beverage,Jack Cowin,Australia,Canberra,Fast food,Food & Beverage,Australia,True,D,M,1942-07-13 00:00:00,Cowin,Jack,4/4/2023 5:01,119.8,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,81
1104,2700,Finance & Investments,Glenn Dubin,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,U,M,1957-04-13 00:00:00,Dubin,Glenn,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,66
1104,2700,Energy,N. Murray Edwards,United Kingdom,Ottawa,Oil & gas,Energy,Canada,True,D,M,1959-12-10 00:00:00,Edwards,N. Murray,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,64
1104,2700,Sports,"Frank Fertitta, III.",United States,"Washington, D.C.","Casinos, mixed martial arts",Sports,United States,False,U,M,1962-02-24 00:00:00,Fertitta,Frank,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,61
1104,2700,Automotive,Abhay Firodia,India,New Delhi,Automobiles,Automotive,India,False,D,M,1944-11-05 00:00:00,Firodia,Abhay,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,79
1104,2700,Finance & Investments,Bruce Flatt,United Kingdom,Ottawa,Money management,Finance & Investments,Canada,True,D,M,1965-06-01 00:00:00,Flatt,Bruce,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,58
1104,2700,Service,Miguel Fluxa Rossello,Spain,Madrid,Hotels,Service,Spain,False,D,M,1938-07-27 00:00:00,Fluxa Rossello,Miguel,4/4/2023 5:01,110.96,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,85
1104,2700,Metals & Mining,Robert Friedland,Singapore,"Washington, D.C.",Mining,Metals & Mining,United States,True,U,M,1950-08-18 00:00:00,Friedland,Robert,4/4/2023 5:01,114.41,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836,73
1104,2700,Metals & Mining,Alexander Frolov,Russia,Moscow,"Mining, steel",Metals & Mining,Russia,True,U,M,1964-05-17 00:00:00,Frolov,Alexander,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,59
1104,2700,Diversified,Nadir Godrej,India,New Delhi,Consumer goods,Diversified,India,False,U,M,1951-01-01 00:00:00,Godrej,Nadir,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,72
1104,2700,Service,Maggie Hardy,United States,"Washington, D.C.",Building materials,Service,United States,False,U,F,1965-12-07 00:00:00,Hardy Knox,Maggie,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,58
1104,2700,Finance & Investments,Nithin Kamath,India,New Delhi,Financial services,Finance & Investments,India,True,N,M,1979-10-05 00:00:00,Kamath,Nithin,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,44
1104,2700,Construction & Engineering,Samvel Karapetyan,Russia,Moscow,Real estate,Construction & Engineering,Russia,True,U,M,1965-08-18 00:00:00,Karapetyan,Samvel,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,58
1104,2700,Real Estate,Kei Hoi Pang,Hong Kong,Beijing,Real estate,Real Estate,China,True,D,M,1966-01-01 00:00:00,Kei,Hoi Pang,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,57
1104,2700,Diversified,Mustafa Rahmi Koc,Turkey,Ankara,Diversified,Diversified,Turkey,False,U,M,1930-10-09 00:00:00,Koc,Mustafa Rahmi,4/4/2023 5:01,234.44,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322,93
1104,2700,Finance & Investments,Yuri Kovalchuk & family,Russia,Moscow,"Banking, insurance, media",Finance & Investments,Russia,True,U,M,1951-07-25 00:00:00,Kovalchuk,Yuri,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,72
1104,2700,Real Estate,Geoffrey Kwok,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,D,M,1985-05-01 00:00:00,Kwok,Geoffrey,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,38
1104,2700,Real Estate,Jonathan Kwok,Hong Kong,Hong Kong,Real Estate,Real Estate,Hong Kong,False,U,M,1992-03-01 00:00:00,Kwok,Jonathan,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,31
1104,2700,Manufacturing,Hans Langer,Germany,Berlin,3D printing,Manufacturing,Germany,True,U,M,1952-01-18 00:00:00,Langer,Hans,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,71
1104,2700,Manufacturing,Frank Laukien,United States,"Washington, D.C.",Scientific equipment,Manufacturing,United States,False,U,M,1960-02-04 00:00:00,Laukien,Frank,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,63
1104,2700,Real Estate,Maritsa Lazari & family,United Kingdom,London,Real estate,Real Estate,United Kingdom,True,D,F,1944-10-14 00:00:00,Lazari,Maritsa,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,79
1104,2700,Real Estate,Angela Leong,Hong Kong,Hong Kong,Casinos,Real Estate,Hong Kong,False,D,F,1961-03-23 00:00:00,Leong,Angela,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,62
1104,2700,Technology,Li Zhongchu,China,Beijing,Software,Technology,China,True,D,M,1963-08-26 00:00:00,Li,Zhongchu,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60
1104,2700,Food & Beverage,Liang Yunchao,China,Beijing,Nutritional supplements,Food & Beverage,China,True,D,M,1969-01-03 00:00:00,Liang,Yunchao,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,54
1104,2700,Sports,Vincent McMahon,United States,"Washington, D.C.",Entertainment,Sports,United States,True,U,M,1945-08-24 00:00:00,McMahon,Vincent,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,78
1104,2700,Metals & Mining,Patrice Motsepe,South Africa,Pretoria,Mining,Metals & Mining,South Africa,True,D,M,1962-01-28 00:00:00,Motsepe,Patrice,4/4/2023 5:01,158.93,351431649241.0,22.4,100.9,63.9,27.5,29.2,58558270.0,-30.559482,22.937506,61
1104,2700,Telecom,Denis O'Brien,Ireland,Dublin,Telecom,Telecom,Ireland,True,D,M,1958-04-17 00:00:00,O'Brien,Denis,4/4/2023 5:01,121.1,529245000000.0,74.68,100.0,81.66,24.0,20.0,5056935.0,53.41291,-8.24389,65
1104,2700,Food & Beverage,Timm Oberwelland,Germany,Berlin,Candy,Food & Beverage,Germany,False,Split Family Fortune,M,1969-11-04 00:00:00,Oberwelland,Timm,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,54
1104,2700,Diversified,Dan Olsson,Sweden,Stockholm,Diversified,Diversified,Sweden,False,E,M,1947-01-01 00:00:00,Olsson,Dan,4/4/2023 5:01,110.51,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501,76
1104,2700,Technology,Yuji Otsuka,Japan,Tokyo,"Copy machines, software",Technology,Japan,False,U,M,1954-02-13 00:00:00,Otsuka,Yuji,4/4/2023 5:01,105.48,4231140000000.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,69
1104,2700,Fashion & Retail,Pan Dong,Hong Kong,Ottawa,Consumer goods,Fashion & Retail,Canada,True,D,F,1965-01-01 00:00:00,Pan,Dong,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,58
1104,2700,Diversified,Karsanbhai Patel,India,New Delhi,Consumer goods,Diversified,India,True,D,M,1944-01-07 00:00:00,Patel,Karsanbhai,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,79
1104,2700,Real Estate,Richard Peery,United States,"Washington, D.C.",Real estate,Real Estate,United States,True,D,M,1938-10-01 00:00:00,Peery,Richard,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,85
1104,2700,Metals & Mining,Gianfelice Rocca,Italy,Rome,Pipe Manufacturing,Metals & Mining,Italy,False,Split Family Fortune,M,1948-03-02 00:00:00,Rocca,Gianfelice,4/4/2023 5:01,110.62,2010430000000.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,75
1104,2700,Metals & Mining,Paolo Rocca,Italy,Rome,Pipe Manufacturing,Metals & Mining,Italy,False,Split Family Fortune,M,1952-10-14 00:00:00,Rocca,Paolo,4/4/2023 5:01,110.62,2010430000000.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,71
1104,2700,Healthcare,Wayne Rothbaum,United States,"Washington, D.C.",Biotech investing,Healthcare,United States,True,N,M,1968-02-17 00:00:00,Rothbaum,Wayne,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,55
1104,2700,Technology,Jeff Rothschild,United States,"Washington, D.C.",Facebook,Technology,United States,True,D,M,1955-01-02 00:00:00,Rothschild,Jeff,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,68
1104,2700,Technology,Raj Sardana,United States,"Washington, D.C.",Technology services,Technology,United States,True,N,M,1960-03-08 00:00:00,Sardana,Raj,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,63
1104,2700,Media & Entertainment,Christiane Schoeller,Germany,Berlin,Publishing,Media & Entertainment,Germany,False,U,F,1968-03-30 00:00:00,Schoeller,Christiane,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,55
1104,2700,Manufacturing,Salil Singhal,India,New Delhi,Agrochemicals,Manufacturing,India,False,U,M,1947-07-21 00:00:00,Singhal,Salil,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,76
1104,2700,Logistics,Alexander Skorobogatko,Russia,Moscow,"Real estate, airport",Logistics,Russia,True,U,M,1967-09-25 00:00:00,Skorobogatko,Alexander,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,56
1104,2700,Technology,Evan Spiegel,United States,"Washington, D.C.",Snapchat,Technology,United States,True,D,M,1990-06-04 00:00:00,Spiegel,Evan,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,33
1104,2700,Service,Glen Taylor,United States,"Washington, D.C.",Printing,Service,United States,True,U,M,1941-04-20 00:00:00,Taylor,Glen,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,82
1104,2700,Media & Entertainment,Thomas Tull,United States,"Washington, D.C.","Movies, investments",Media & Entertainment,United States,True,U,M,1970-06-11 00:00:00,Tull,Thomas,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53
1104,2700,Metals & Mining,Bulat Utemuratov,Kazakhstan,Nur-Sultan,"Mining, banking, hotels",Metals & Mining,Kazakhstan,True,D,M,1958-01-01 00:00:00,Utemuratov,Bulat,4/4/2023 5:01,182.75,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684,65
1104,2700,Food & Beverage,Gustav Magnar Witzoe,Norway,Oslo,Fish farming,Food & Beverage,Norway,False,D,M,1993-04-22 00:00:00,Witzoe,Gustav Magnar,4/4/2023 5:01,120.27,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946,30
1104,2700,Manufacturing,Wong Man Li,Hong Kong,Hong Kong,Furniture,Manufacturing,Hong Kong,True,D,M,1965-02-12 00:00:00,Wong,Man Li,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,58
1104,2700,Healthcare,Guangming Wu,China,Beijing,Medical equipment,Healthcare,China,True,D,M,1962-02-27 00:00:00,Wu,Guangming,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,61
1104,2700,Healthcare,Zhu Yi,China,Beijing,Pharmaceuticals,Healthcare,China,True,N,M,1963-12-01 00:00:00,Zhu ,Yi ,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60
1164,2600,Real Estate,Ben Ashkenazy,United States,"Washington, D.C.",Real estate,Real Estate,United States,True,D,M,1969-09-23 00:00:00,Ashkenazy,Ben,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,54
1164,2600,Finance & Investments,Felix Baker,United States,"Washington, D.C.",Biotech investing,Finance & Investments,United States,True,D,M,1969-03-29 00:00:00,Baker,Felix,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,54
